,OCC_TITLE,OCC_GROUP
1635,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed
1636,"Layout Workers, Metal and Plastic",detailed
1638,"Tool Grinders, Filers, and Sharpeners",detailed
1639,"Metal Workers and Plastic Workers, All Other",detailed
1640,Prepress Technicians and Workers,detailed
1644,"Pressers, Textile, Garment, and Related Materials",detailed
1646,"Tailors, Dressmakers, and Custom Sewers",detailed
1648,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed
1649,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed
1650,Power Distributors and Dispatchers,detailed
1651,Stationary Engineers and Boiler Operators,detailed
1655,Chemical Equipment Operators and Tenders,detailed
1657,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed
1660,"Cutters and Trimmers, Hand",detailed
1661,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed
1662,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed
1663,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed
1665,Jewelers and Precious Stone and Metal Workers,detailed
1667,Medical Appliance Technicians,detailed
1671,"Painting, Coating, and Decorating Workers",detailed
1672,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed
1674,"Paper Goods Machine Setters, Operators, and Tenders",detailed
1680,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed
1688,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed
1689,"Railroad Brake, Signal, and Switch Operators",detailed
1693,Conveyor Operators and Tenders,detailed
1694,Crane and Tower Operators,detailed
1696,"Loading Machine Operators, Underground Mining",detailed
1700,Machine Feeders and Offbearers,detailed
1703,Mine Shuttle Car Operators,detailed
1704,"Tank Car, Truck, and Ship Loaders",detailed
1916,Fiberglass Laminators and Fabricators,detailed
2160,Slaughterers and Meat Packers,detailed
2377,Agricultural Inspectors,detailed
2421,Food Cooking Machine Operators and Tenders,detailed
2559,Tree Trimmers and Pruners,detailed
2657,"Woodworkers, All Other",detailed
2911,Computer and Information Research Scientists,detailed
2928,Aerospace Engineers,detailed
2939,Nuclear Engineers,detailed
2944,Aerospace Engineering and Operations Technicians,detailed
2947,Electro-Mechanical Technicians,detailed
2953,Physicists,detailed
2956,Materials Scientists,detailed
2982,"Engineering Teachers, Postsecondary",detailed
3007,Multimedia Artists and Animators,detailed
3234,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed
3236,Electromechanical Equipment Assemblers,detailed
3237,Engine and Other Machine Assemblers,detailed
3257,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed
3399,"Nursing Instructors and Teachers, Postsecondary",detailed
3455,Respiratory Therapy Technicians,detailed
3648,Commercial Divers,detailed
